"URI"	"Label"	"URIparent"	"LabelParent"
<https://www.datatourisme.fr/ontology/core#AlpinePasture>,Alpine pasture,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Natural heritage
<https://www.datatourisme.fr/ontology/core#ActivityProvider>,Activity provider,<https://www.datatourisme.fr/ontology/core#PlaceOfInterest>,Place
<https://www.datatourisme.fr/ontology/core#AccompaniedPractice>,Accompanied practice,<https://www.datatourisme.fr/ontology/core#Practice>,Practice
<https://www.datatourisme.fr/ontology/core#AntiqueAndSecondhandGoodDealer>,Antique and second-hand goods dealer,<https://www.datatourisme.fr/ontology/core#Store>,Store
<https://www.datatourisme.fr/ontology/core#Apartment>,Apartment,<https://www.datatourisme.fr/ontology/core#AccommodationProduct>,Accommodation product
<https://www.datatourisme.fr/ontology/core#AccommodationFeatureSpecification>,Accommodation feature specification,<https://www.datatourisme.fr/ontology/core#FeatureSpecification>,Feature specification
<https://www.datatourisme.fr/ontology/core#AccommodationProduct>,Accommodation product,<https://www.datatourisme.fr/ontology/core#Product>,Product
<https://www.datatourisme.fr/ontology/core#Abbey>,Abbey,<https://www.datatourisme.fr/ontology/core#ReligiousSite>,Religious site
<https://www.datatourisme.fr/ontology/core#Aqueduct>,Aqueduct,<https://www.datatourisme.fr/ontology/core#RemarkableBuilding>,Remarkable civil building
<https://www.datatourisme.fr/ontology/core#Airfield>,Airfield,<https://www.datatourisme.fr/ontology/core#Transport>,Transport
<https://www.datatourisme.fr/ontology/core#Airport>,Airport,<https://www.datatourisme.fr/ontology/core#Transport>,Transport
<https://www.datatourisme.fr/ontology/core#Forest>,Forest,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Natural heritage
<https://www.datatourisme.fr/ontology/core#FirstPractice>,First practice,<https://www.datatourisme.fr/ontology/core#Practice>,Practice
<https://www.datatourisme.fr/ontology/core#FreePractice>,Free practice,<https://www.datatourisme.fr/ontology/core#Practice>,Practice
<https://www.datatourisme.fr/ontology/core#Forge>,Forge,<https://www.datatourisme.fr/ontology/core#TechnicalHeritage>,"Industrial, handcraft, rural, agricultural and technical heritage"
<https://www.datatourisme.fr/ontology/core#FluvialTour>,Fluvial or sea route,<https://www.datatourisme.fr/ontology/core#Tour>,Route
<https://www.datatourisme.fr/ontology/core#FoodEstablishmentTheme>,Food establishment theme,<https://www.datatourisme.fr/ontology/core#Theme>,Theme
<https://www.datatourisme.fr/ontology/core#Fort>,Fort,<https://www.datatourisme.fr/ontology/core#DefenceSite>,Defence site
<https://www.datatourisme.fr/ontology/core#FortifiedCastle>,Fortified castle,<https://www.datatourisme.fr/ontology/core#DefenceSite>,Defence site
<https://www.datatourisme.fr/ontology/core#FortifiedSet>,Fortified set,<https://www.datatourisme.fr/ontology/core#DefenceSite>,Defence site
