index,level_1_label,level_2_label,level_3_label,level_4_label,to_keep,Level_3_4,main_category,sub_category
22,Produit,Visite,,,0,Visite,,
94,Lieu,Site culturel,Centre d'interprétation,,0,Centre d'interprétation,,
150,Produit,Pratique,Accompagnement,,0,Accompagnement,,
151,Produit,Pratique,Stage de perfectionnement,,0,Stage de perfectionnement,,
152,Produit,Pratique,Cours,,0,Cours,,
154,Produit,Pratique,Pratique libre,,0,Pratique libre,,
156,Produit,Pratique,Compétition,,0,Compétition,,
161,Produit,Location,Location de salle,,0,Location de salle,,
193,Lieu,"Site sportif, récréatif et de loisirs",Rampe de mise à l'eau,,0,Rampe de mise à l'eau,,
279,Fête et manifestation,Evènement professionnel d'entreprise,Conseil d'administration,,0,Conseil d'administration,,
280,Fête et manifestation,Evènement professionnel d'entreprise,Bureau éxécutif,,0,Bureau éxécutif,,
281,Fête et manifestation,Evènement professionnel d'entreprise,Congrès,,0,Congrès,,
282,Fête et manifestation,Evènement professionnel d'entreprise,Séminaire,,0,Séminaire,,
283,Fête et manifestation,Evènement professionnel d'entreprise,Atelier de formation,,0,Atelier de formation,,
284,Fête et manifestation,Evènement professionnel d'entreprise,Réunion de travail,,0,Réunion de travail,,
285,Lieu,Site d'affaires,Chambre de commerce et d'industrie,,0,Chambre de commerce et d'industrie,,
286,Lieu,Site d'affaires,Centre de congrès,,0,Centre de congrès,,
287,Itinéraire touristique,Itinéraire cyclable,,,0,Itinéraire cyclable,,
288,Itinéraire touristique,Itinéraire fluvial ou maritime,,,0,Itinéraire fluvial ou maritime,,
289,Itinéraire touristique,Itinéraire équestre,,,0,Itinéraire équestre,,
295,Itinéraire touristique,Itinéraire routier,,,0,Itinéraire routier,,
332,Itinéraire touristique,Itinéraire sous-marin,,,0,Itinéraire sous-marin,,
333,Lieu,Service d'information touristique,Comité départemental du tourisme,,0,Comité départemental du tourisme,,
335,Lieu,Service d'information touristique,Comité régional du tourisme,,0,Comité régional du tourisme,,
340,Lieu,Service d'information touristique,Voyagiste,,0,Voyagiste,,
342,Itinéraire touristique,Itinéraire pédestre,,,0,Itinéraire pédestre,,
0,Lieu,Prestataire d'activité,Prestataire d'activité culturelle,,1,Prestataire d'activité culturelle,Culture & Musées,Spectacle vivant
1,Lieu,Prestataire d'activité,Prestataire d'activité sportive et de loisir,,1,Prestataire d'activité sportive et de loisir,Sports & Loisirs,Sports collectifs & stades
39,Lieu,Site culturel,"Patrimoine industriel, artisanal, rural, agricole et technique","Halle, marché couvert",1,"Halle, marché couvert",Shopping & Artisanat,Marchés
40,Lieu,Site culturel,"Patrimoine industriel, artisanal, rural, agricole et technique",Moulin,1,Moulin,Patrimoine & Monuments,Patrimoine rural & agricole
41,Lieu,Site culturel,"Patrimoine industriel, artisanal, rural, agricole et technique",Mine,1,Mine,Patrimoine & Monuments,Patrimoine rural & agricole
42,Lieu,Site culturel,"Patrimoine industriel, artisanal, rural, agricole et technique",Forge,1,Forge,Patrimoine & Monuments,Patrimoine rural & agricole
43,Lieu,Site culturel,"Patrimoine industriel, artisanal, rural, agricole et technique",Ferme,1,Ferme,Patrimoine & Monuments,Patrimoine rural & agricole
44,Lieu,Site culturel,"Patrimoine industriel, artisanal, rural, agricole et technique",Phare,1,Phare,Patrimoine & Monuments,Patrimoine civil
45,Lieu,Site culturel,"Patrimoine industriel, artisanal, rural, agricole et technique",Jetée,1,Jetée,Patrimoine & Monuments,Patrimoine civil
46,Lieu,Site culturel,"Patrimoine industriel, artisanal, rural, agricole et technique",Pigeonnier,1,Pigeonnier,Patrimoine & Monuments,Patrimoine civil
47,Lieu,Site culturel,"Patrimoine industriel, artisanal, rural, agricole et technique",Haras,1,Haras,Patrimoine & Monuments,Patrimoine civil
48,Lieu,Site culturel,"Patrimoine industriel, artisanal, rural, agricole et technique",Site industriel,1,Site industriel,Patrimoine & Monuments,Patrimoine rural & agricole
49,Lieu,Site culturel,"Patrimoine industriel, artisanal, rural, agricole et technique",Verger conservatoire,1,Verger conservatoire,Patrimoine & Monuments,Patrimoine rural & agricole
